date,srcip,dstip,srcport,dstport,time,pkt_len,tos,id,flag,ttl,chksum
2015-05-21 13:01:00,3692841427,2243093084,443,45355,1432213260000419,1450,0,3841,2,86,33358
2015-05-21 13:01:00,1790770405,3617517163,40315,443,1432213260000420,52,0,45293,2,56,25642
2015-05-21 13:01:00,3237888049,1554569685,1067,80,1432213260000420,40,0,1683,0,53,18320
2015-05-21 13:01:00,3692841427,2243093084,443,45355,1432213260000422,1450,0,3842,2,86,33357
2015-05-21 13:01:00,2372497880,2234919715,41082,80,1432213260000423,52,0,54927,2,54,48793
2015-05-21 13:01:00,2372497880,2234919715,41082,80,1432213260000426,52,0,54928,2,54,48792
2015-05-21 13:01:00,4048273528,3236289063,37561,80,1432213260000426,40,0,6788,2,113,41594
2015-05-21 13:01:00,2372497880,2234919715,41082,80,1432213260000426,52,0,54929,2,54,48791
2015-05-21 13:01:00,2372497880,2234919715,41082,80,1432213260000427,52,0,54930,2,54,48790
2015-05-21 13:01:00,3692841427,2243093084,443,45355,1432213260000429,1450,0,3843,2,86,33356
2015-05-21 13:01:00,3692841427,2243093084,443,45355,1432213260000430,446,0,3844,2,86,34359
2015-05-21 13:01:00,2372497880,2234919715,41082,80,1432213260000430,52,0,54931,2,54,48789
2015-05-21 13:01:00,2372497880,2234919715,41082,80,1432213260000430,52,0,54932,2,54,48788
2015-05-21 13:01:00,2372497880,2234919715,41082,80,1432213260000431,52,0,54933,2,54,48787
2015-05-21 13:01:00,2372497880,2234919715,41082,80,1432213260000432,52,0,54934,2,54,48786
2015-05-21 13:01:00,1956239852,150789912,63210,80,1432213260000454,52,0,43110,2,56,25539
2015-05-21 13:01:00,150953147,2283388161,34736,443,1432213260000459,52,8,44190,2,59,59464
2015-05-21 13:01:00,1230902187,1672847798,54184,80,1432213260000460,40,0,2427,2,115,39904
2015-05-21 13:01:00,1642033587,853563484,14690,8004,1432213260000474,40,0,20291,0,115,39358
2015-05-21 13:01:00,1657172584,3617517160,35207,443,1432213260000474,72,0,1186,2,58,41176
2015-05-21 13:01:00,2228467378,150789869,42940,80,1432213260000477,52,0,26928,2,54,47140
2015-05-21 13:01:00,2065742556,12833326,61319,443,1432213260000483,40,0,0,2,51,16098
2015-05-21 13:01:00,1574997820,150789980,35969,80,1432213260000483,40,0,29871,2,117,48043
2015-05-21 13:01:00,2342757303,3617517253,57743,80,1432213260000492,52,0,64700,2,57,20296
2015-05-21 13:01:00,2251350403,853560550,51302,443,1432213260000496,40,0,28952,2,116,44605
2015-05-21 13:01:00,1531295191,853553324,34268,80,1432213260000505,52,0,576,2,56,52187
2015-05-21 13:01:00,2628057363,1505192066,17146,61341,1432213260000516,1429,0,3703,0,122,54511
2015-05-21 13:01:00,2097915291,1344802977,10610,1024,1432213260000519,1466,0,11855,0,116,36724
2015-05-21 13:01:00,2347841641,1716727673,80,58051,1432213260000527,1452,8,52261,2,60,4856
2015-05-21 13:01:00,2342757303,3617517253,57743,80,1432213260000551,52,0,64701,2,57,20295
2015-05-21 13:01:00,1862874983,1871867787,443,54386,1432213260000552,52,0,1940,0,45,163
2015-05-21 13:01:00,1000247065,3617517208,45371,1485,1432213260000558,354,8,13297,2,59,31139
2015-05-21 13:01:00,1365304920,1871857513,4433,9026,1432213260000571,40,0,61485,2,57,25326
2015-05-21 13:01:00,902934349,2231898071,80,39899,1432213260000579,52,8,62409,2,54,55028
2015-05-21 13:01:00,1909317289,2243093204,38170,80,1432213260000585,757,0,49327,2,59,50005
2015-05-21 13:01:00,2342757303,3617517253,57743,80,1432213260000599,52,0,64702,2,57,20294
2015-05-21 13:01:00,503180738,1545323073,54670,80,1432213260000606,40,0,20828,2,118,35159
2015-05-21 13:01:00,1569306860,3225478703,62720,6881,1432213260000607,57,0,12724,0,121,21274
2015-05-21 13:01:00,2136751877,1344802977,25068,57500,1432213260000625,1500,0,5284,2,115,52813
2015-05-21 13:01:00,1812660586,853567782,51563,80,1432213260000628,52,0,47080,2,56,33120
2015-05-21 13:01:00,1713945563,4152938274,3494,16402,1432213260000632,1377,0,33349,0,57,4504
2015-05-21 13:01:00,1863625798,568954141,53,43715,1432213260000634,85,8,53306,0,59,58612
2015-05-21 13:01:00,1758768287,1344681583,50853,80,1432213260000634,40,0,10765,2,51,33210
2015-05-21 13:01:00,1790770405,3617517163,40315,443,1432213260000638,52,0,45294,2,56,25641
2015-05-21 13:01:00,1382615769,1545326958,3074,34260,1432213260000638,124,0,7072,0,55,56581
2015-05-21 13:01:00,2342757303,3617517253,57743,80,1432213260000652,52,0,64703,2,57,20293
2015-05-21 13:01:00,1836758442,2243093054,44448,80,1432213260000666,600,0,56343,0,45,9331
2015-05-21 13:01:00,2199316882,2243093291,33617,80,1432213260000676,52,0,25743,2,57,1966
2015-05-21 13:01:00,1863625798,1709201826,53,29722,1432213260000681,100,8,13121,0,59,29027
2015-05-21 13:01:00,623930518,1554569605,53732,80,1432213260000692,52,0,26002,2,53,6206
2015-05-21 13:01:00,146736697,3617492175,47577,80,1432213260000694,64,0,6791,2,59,45515
2015-05-21 13:01:00,4014140395,1640391218,50423,7470,1432213260000710,52,0,31037,2,55,11104
2015-05-21 13:01:00,2676591366,150789557,80,60753,1432213260000717,52,0,53918,2,59,23524
2015-05-21 13:01:00,1250339180,3617517102,19314,80,1432213260000721,40,0,3961,2,112,16791
2015-05-21 13:01:00,2424004718,3235956350,51553,80,1432213260000723,52,0,57353,2,52,61041
2015-05-21 13:01:00,999485300,1505192162,1194,1194,1432213260000727,121,0,0,2,56,21716
2015-05-21 13:01:00,1896923619,3692349459,80,12696,1432213260000728,1500,0,60140,2,245,48658
2015-05-21 13:01:00,1896923619,3692349459,80,12696,1432213260000731,1500,0,60141,2,245,48657
2015-05-21 13:01:00,1896923619,3692349459,80,12696,1432213260000737,1216,0,60142,2,245,48940
2015-05-21 13:01:00,4084554767,2169402312,57172,80,1432213260000742,40,0,33120,2,58,31444
2015-05-21 13:01:00,1993862984,1545329463,7001,17373,1432213260000746,48,0,25545,2,48,18817
2015-05-21 13:01:00,3470982811,1672854995,54610,80,1432213260000754,40,0,5641,2,120,64959
2015-05-21 13:01:00,1896923619,3692349459,80,12696,1432213260000758,1500,0,60143,2,245,48655
2015-05-21 13:01:00,2424004718,3235956350,51553,80,1432213260000765,52,0,57354,2,52,61040
2015-05-21 13:01:00,1896923619,3692349459,80,12696,1432213260000773,1500,0,60144,2,245,48654
2015-05-21 13:01:00,1896923619,3692349459,80,12696,1432213260000777,1216,0,60145,2,245,48937
2015-05-21 13:01:00,3480554070,3714475849,42657,80,1432213260000778,40,0,27697,2,117,31523
2015-05-21 13:01:00,3339229284,1506690635,28104,19132,1432213260000786,35,0,0,2,55,17476
2015-05-21 13:01:00,4084554767,2169402312,57172,80,1432213260000794,1347,0,33121,2,58,30136
2015-05-21 13:01:00,2421181629,1871867340,443,21151,1432213260000797,141,0,16724,2,120,1707
2015-05-21 13:01:00,1383735851,853564243,2154,80,1432213260000798,52,0,30153,2,56,51746
2015-05-21 13:01:00,1588719809,1643608288,49826,443,1432213260000799,40,0,24522,2,117,31675
2015-05-21 13:01:00,3741246265,3538658659,443,40119,1432213260000809,52,8,6940,2,38,65304
2015-05-21 13:01:00,500369109,150790001,43174,80,1432213260000823,52,0,11115,2,58,2116
2015-05-21 13:01:00,117096411,2342717538,51292,80,1432213260000827,52,0,64881,2,55,60279
2015-05-21 13:01:00,2199316882,2243093291,33617,80,1432213260000832,52,0,25744,2,57,1965
2015-05-21 13:01:00,1836758187,2243093069,34961,80,1432213260000835,495,0,19044,0,45,46975
2015-05-21 13:01:00,146736697,3617492175,47577,80,1432213260000857,64,0,6792,2,59,45514
2015-05-21 13:01:00,1896923619,3692349459,80,12696,1432213260000859,1500,0,60146,2,245,48652
2015-05-21 13:01:00,1896923619,3692349459,80,12696,1432213260000868,1500,0,60147,2,245,48651
2015-05-21 13:01:00,1896923619,3692349459,80,12696,1432213260000870,1216,0,60148,2,245,48934
2015-05-21 13:01:00,3605561507,3694611775,20351,80,1432213260000888,40,0,6624,0,47,61677
2015-05-21 13:01:00,3269296913,135550926,50185,80,1432213260000893,40,0,21795,2,116,3036
2015-05-21 13:01:00,3269296913,135550926,50185,80,1432213260000895,40,0,21796,2,116,3035
2015-05-21 13:01:00,3269296913,135550926,50185,80,1432213260000896,40,0,21797,2,116,3034
2015-05-21 13:01:00,1545332540,1545333325,36974,9999,1432213260000896,52,0,37288,2,55,10331
2015-05-21 13:01:00,2372497880,2234919715,41082,80,1432213260000899,52,0,54935,2,54,48785
2015-05-21 13:01:00,2372497880,2234919715,41082,80,1432213260000900,52,0,54936,2,54,48784
2015-05-21 13:01:00,2372497880,2234919715,41082,80,1432213260000901,52,0,54937,2,54,48783
2015-05-21 13:01:00,2372497880,2234919715,41082,80,1432213260000903,52,0,54938,2,54,48782
2015-05-21 13:01:00,497732235,1545329451,42264,43418,1432213260000903,65,0,13697,0,116,61870
2015-05-21 13:01:00,1956241916,150789938,65023,80,1432213260000905,52,0,7001,2,56,59558
2015-05-21 13:01:00,1863625798,568954137,53,1109,1432213260000922,145,8,23683,0,59,22644
2015-05-21 13:01:00,465977696,150789938,65086,80,1432213260000926,52,0,61435,2,56,3444
2015-05-21 13:01:00,465977696,150789938,65086,80,1432213260000926,52,0,61436,2,56,3443
2015-05-21 13:01:00,465977696,150789938,65086,80,1432213260000928,52,0,61437,2,56,3442
2015-05-21 13:01:00,465977696,150789938,65086,80,1432213260000929,52,0,61438,2,56,3441
2015-05-21 13:01:00,465977696,150789938,65086,80,1432213260000929,52,0,61439,2,56,3440
2015-05-21 13:01:00,465977696,150789938,65086,80,1432213260000929,52,0,61440,2,56,3439
2015-05-21 13:01:00,465977696,150789938,65086,80,1432213260000929,52,0,61441,2,56,3438
2015-05-21 13:01:00,465977696,150789938,65086,80,1432213260000929,52,0,61442,2,56,3437
2015-05-21 13:01:00,2288749392,137092574,59358,443,1432213260000930,83,0,17830,2,56,826
2015-05-21 13:01:00,1984097478,1554569666,51192,80,1432213260000938,52,0,60738,2,54,48653
2015-05-21 13:01:00,3641310215,2299786010,57821,80,1432213260000949,52,0,34968,2,57,26604
2015-05-21 13:01:00,1572182624,1505192080,35591,32854,1432213260000952,58,0,48678,2,56,51759
2015-05-21 13:01:00,1698734285,2299785499,56345,80,1432213260000962,52,0,5124,2,57,44419
2015-05-21 13:01:00,2628067606,3617492179,62198,80,1432213260000986,52,0,18518,2,58,54848
2015-05-21 13:01:00,2108764833,137687321,52588,443,1432213260000988,213,0,22869,2,115,1070
2015-05-21 13:01:00,904355378,568954343,80,42828,1432213260001005,1500,8,11684,2,50,53638
2015-05-21 13:01:00,904355378,568954343,80,42828,1432213260001007,1500,8,11685,2,50,53637
2015-05-21 13:01:00,2320046257,2342715495,31348,80,1432213260001008,40,4,9602,2,113,46405
2015-05-21 13:01:00,3605561507,3694611775,20351,80,1432213260001022,40,0,2100,0,47,666
2015-05-21 13:01:00,1567400361,3715396604,62108,80,1432213260001023,52,0,1563,2,118,44578
2015-05-21 13:01:00,2288749392,137092574,59358,443,1432213260001029,52,0,17831,2,56,856
2015-05-21 13:01:00,2628067606,3617492179,62198,80,1432213260001034,52,0,18519,2,58,54847
2015-05-21 13:01:00,1657172584,3617517160,35207,443,1432213260001039,72,0,1187,2,58,41175
2015-05-21 13:01:00,1685595654,2243093019,443,64442,1432213260001046,697,0,7567,2,87,4452
2015-05-21 13:01:00,904355378,568954343,80,42828,1432213260001048,1500,8,11686,2,50,53636
2015-05-21 13:01:00,904355378,568954343,80,42828,1432213260001051,1500,8,11687,2,50,53635
2015-05-21 13:01:00,904355378,568954343,80,42828,1432213260001055,1500,8,11688,2,50,53634
2015-05-21 13:01:00,904355378,568954343,80,42828,1432213260001077,1500,8,11689,2,50,53633
2015-05-21 13:01:00,150768382,2243093319,45113,443,1432213260001079,52,8,6532,2,59,10564
2015-05-21 13:01:00,3923838324,12833295,48757,3478,1432213260001107,107,0,0,2,49,34650
2015-05-21 13:01:00,904355378,568954343,80,42828,1432213260001115,1500,8,11690,2,50,53632
